FinalTestAcc,TrainLossCurve,TrainErrCurve,TestErrCurve
86.05,123.71707640588284,10.918000000000006,14.540000000000006
86.05,124.1490488499403,11.040000000000006,14.870000000000005
86.05,123.07323640584946,10.813999999999993,14.079999999999998
86.09,121.88351808488369,10.721999999999994,13.909999999999997
86.09,120.75146526098251,10.549999999999997,14.560000000000002
86.09,121.7064931243658,10.706000000000003,14.739999999999995
86.09,119.46918441355228,10.531999999999996,14.400000000000006
86.09,118.44624358415604,10.506,14.590000000000003
86.09,119.39969918131828,10.596000000000004,14.180000000000007
86.09,117.20590856671333,10.242000000000004,14.5
86.09,115.44814421236515,10.114000000000004,14.329999999999998
86.09,115.14660848677158,10.085999999999999,14.189999999999998
86.3,116.5234168022871,10.299999999999997,13.700000000000003
86.3,114.79760889708996,10.135999999999996,14.079999999999998
86.3,114.57707987725735,10.097999999999999,14.810000000000002
86.3,114.86886501312256,10.075999999999993,14.25
86.3,113.10329048335552,9.992000000000004,13.989999999999995
86.3,113.30150116980076,10.105999999999995,14.219999999999999
86.3,114.24113617837429,10.043999999999997,14.450000000000003
86.3,110.57292327284813,9.733999999999995,14.709999999999994
86.3,110.71706785261631,9.772000000000006,14.099999999999994
86.3,109.75088821351528,9.701999999999998,14.25
86.3,111.34436155110598,9.835999999999999,15.090000000000003
86.3,110.70686909556389,9.732,15.019999999999996
86.3,109.84656637907028,9.658000000000001,14.400000000000006
86.53,99.61800505965948,8.816000000000003,13.469999999999999
86.53,96.73702245205641,8.575999999999993,13.519999999999996
86.87,95.62396817654371,8.459999999999994,13.129999999999995
86.87,95.26493528485298,8.256,13.5
86.87,93.80041891336441,8.304000000000002,13.36
86.87,93.8028297200799,8.230000000000004,13.150000000000006
86.87,93.2850671261549,8.162000000000006,13.159999999999997
86.87,92.8387190848589,8.170000000000002,13.430000000000007
86.87,93.46934394538403,8.177999999999997,13.209999999999994
86.98,92.00067507475615,7.989999999999995,13.019999999999996
86.98,92.16297546029091,8.195999999999998,13.200000000000003
86.98,92.49611933529377,8.221999999999994,13.239999999999995
86.98,91.05673858523369,7.921999999999997,13.280000000000001
86.98,90.43681913614273,7.9680000000000035,13.090000000000003
86.98,92.20466695725918,8.186000000000007,13.189999999999998
86.98,91.40425233542919,8.090000000000003,13.430000000000007
86.98,91.25601790845394,8.030000000000001,13.269999999999996
86.98,91.74421129375696,8.079999999999998,13.260000000000005
86.98,90.35099007934332,8.006,13.450000000000003
86.98,90.0498751103878,7.918000000000006,13.349999999999994
86.98,89.43032190203667,7.941999999999993,13.299999999999997
86.98,90.75181469321251,7.994,13.299999999999997
86.98,89.23176642507315,7.858000000000004,13.299999999999997
86.98,89.95321753621101,7.778000000000006,13.299999999999997
86.98,89.31176206469536,7.926000000000002,13.370000000000005
86.98,91.21981681138277,8.061999999999998,13.269999999999996
86.98,89.52953309565783,7.730000000000004,13.319999999999993
86.98,89.4168960005045,7.938000000000002,13.420000000000002
86.98,88.10679261386395,7.866,13.219999999999999
86.98,87.44275536388159,7.745999999999995,13.230000000000004
86.98,87.25012091547251,7.597999999999999,13.310000000000002
86.98,87.69624377787113,7.7819999999999965,13.489999999999995
86.98,88.74106255173683,7.828000000000003,13.280000000000001
86.98,89.94472520798445,8.042000000000002,13.379999999999995
86.98,87.45629766583443,7.686000000000007,13.459999999999994
86.98,88.83657836914062,7.8160000000000025,13.299999999999997
86.98,87.04983384907246,7.650000000000006,13.459999999999994
86.98,87.60381912440062,7.706000000000003,13.280000000000001
86.98,86.78560553491116,7.688000000000002,13.560000000000002
86.98,87.76178711652756,7.730000000000004,13.510000000000005
86.98,86.92559238523245,7.744,13.239999999999995
86.98,86.5249719247222,7.653999999999996,13.36
